epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.64793,2.64744,3.03323,0.96246,0.48903,0.4375,0.38121,0.14191,1.74814,2.57191,0.64947,0.0672157,0.000331155,0.000331155
2,13.6784,2.46061,1.71896,0.89975,0.51311,0.50595,0.42656,0.17423,1.7703,3.59928,0.64757,0.0342091,0.00065791,0.00065791
3,19.5835,2.42932,1.71975,0.91593,0.5599,0.50893,0.48476,0.19561,1.67966,2.7656,0.63607,0.00119593,0.000978064,0.000978064
4,25.4371,2.48267,1.61478,0.91765,0.49735,0.5506,0.46494,0.18598,1.61601,3.94097,0.62669,0.0009703,0.0009703,0.0009703
5,31.3028,2.34555,1.59652,0.89675,0.49534,0.5,0.43352,0.17982,1.63209,9.93449,0.6276,0.0009604,0.0009604,0.0009604
6,37.1882,2.37515,1.62306,0.89486,0.53684,0.50893,0.44163,0.18274,1.72724,5.76958,0.63651,0.0009505,0.0009505,0.0009505
7,43.1711,2.33976,1.5772,0.8959,0.52961,0.55624,0.4907,0.20244,1.59244,4.21996,0.62857,0.0009406,0.0009406,0.0009406
8,49.1681,2.25122,1.496,0.90799,0.56827,0.53274,0.47878,0.20691,1.62619,5.93513,0.62873,0.0009307,0.0009307,0.0009307
9,55.0532,2.26688,1.52279,0.89255,0.49788,0.57143,0.486,0.22084,1.58287,6.1422,0.62701,0.0009208,0.0009208,0.0009208
10,60.9116,2.29072,1.48301,0.89347,0.51047,0.49702,0.4637,0.19816,1.73781,4.17341,0.63056,0.0009109,0.0009109,0.0009109
11,66.761,2.25352,1.4649,0.88373,0.5198,0.58929,0.48962,0.20736,1.62579,4.91657,0.62362,0.000901,0.000901,0.000901
12,72.8123,2.26025,1.50783,0.88296,0.61116,0.53869,0.48712,0.20216,1.58672,7.83118,0.62204,0.0008911,0.0008911,0.0008911
13,78.6678,2.12838,1.37803,0.87351,0.59834,0.54533,0.50884,0.22427,1.56754,4.94062,0.62364,0.0008812,0.0008812,0.0008812
14,84.5977,2.20292,1.3731,0.88067,0.583,0.59085,0.52718,0.20938,1.58229,5.21348,0.62384,0.0008713,0.0008713,0.0008713
15,90.443,2.20482,1.4165,0.88305,0.56542,0.58333,0.5269,0.2186,1.5701,4.98219,0.62135,0.0008614,0.0008614,0.0008614
16,96.3034,2.14257,1.38161,0.86788,0.53655,0.54785,0.47939,0.19708,1.59161,12.1596,0.61669,0.0008515,0.0008515,0.0008515
17,102.232,2.14017,1.43861,0.86813,0.60149,0.55655,0.54031,0.2245,1.59708,5.04403,0.62282,0.0008416,0.0008416,0.0008416
18,108.129,2.15701,1.42127,0.8779,0.57873,0.59821,0.57629,0.24974,1.55671,4.52654,0.61879,0.0008317,0.0008317,0.0008317
19,114.071,2.15719,1.39211,0.87508,0.6119,0.57738,0.54882,0.24464,1.55186,3.71396,0.61485,0.0008218,0.0008218,0.0008218
20,119.95,2.10017,1.37521,0.86801,0.56166,0.60714,0.54083,0.23893,1.5148,5.48192,0.61753,0.0008119,0.0008119,0.0008119
21,125.79,2.09197,1.33153,0.87042,0.61867,0.56011,0.55396,0.24135,1.54032,5.58065,0.62111,0.000802,0.000802,0.000802
22,131.817,2.08805,1.29258,0.86994,0.58656,0.59958,0.56254,0.22835,1.51838,6.04813,0.6111,0.0007921,0.0007921,0.0007921
23,137.82,2.07541,1.28486,0.87223,0.59107,0.61947,0.58407,0.26156,1.48339,3.84961,0.60811,0.0007822,0.0007822,0.0007822
24,143.77,2.08959,1.35165,0.87969,0.56675,0.58631,0.56317,0.25239,1.49575,3.62501,0.60963,0.0007723,0.0007723,0.0007723
25,149.651,2.09789,1.34714,0.8627,0.6091,0.57143,0.54768,0.24554,1.5407,3.88997,0.61125,0.0007624,0.0007624,0.0007624
26,155.688,2.05997,1.30286,0.8636,0.60713,0.57031,0.5426,0.24723,1.46691,6.2104,0.60742,0.0007525,0.0007525,0.0007525
27,161.648,2.04759,1.33223,0.8648,0.60567,0.64456,0.57789,0.26344,1.49869,3.84883,0.61314,0.0007426,0.0007426,0.0007426
28,167.68,2.03264,1.28742,0.86495,0.61458,0.59226,0.57005,0.26766,1.49509,4.12628,0.61337,0.0007327,0.0007327,0.0007327
29,173.663,2.01425,1.24787,0.85877,0.61662,0.61905,0.58758,0.2838,1.46204,5.01804,0.61037,0.0007228,0.0007228,0.0007228
30,179.681,2.01886,1.25423,0.85387,0.64049,0.59916,0.5689,0.26538,1.47897,5.61627,0.61048,0.0007129,0.0007129,0.0007129
31,185.637,2.05732,1.26342,0.86188,0.57179,0.58929,0.5529,0.24005,1.52717,5.65633,0.60538,0.000703,0.000703,0.000703
32,191.622,1.96388,1.18684,0.85517,0.62678,0.63975,0.62359,0.28772,1.428,4.9726,0.60488,0.0006931,0.0006931,0.0006931
33,197.648,2.05773,1.30436,0.86399,0.63924,0.60417,0.60241,0.27883,1.44849,5.04062,0.60637,0.0006832,0.0006832,0.0006832
34,203.68,2.0096,1.26749,0.86433,0.58763,0.63393,0.58159,0.26573,1.45625,4.53585,0.60676,0.0006733,0.0006733,0.0006733
35,209.83,1.99639,1.28477,0.85679,0.62852,0.60417,0.59857,0.27342,1.45331,5.84988,0.60313,0.0006634,0.0006634,0.0006634
36,215.937,2.00988,1.24948,0.86061,0.61999,0.66071,0.62582,0.27389,1.45038,4.49302,0.60161,0.0006535,0.0006535,0.0006535
37,222.019,1.93181,1.16079,0.85668,0.66486,0.59821,0.61544,0.27933,1.45911,3.68183,0.60661,0.0006436,0.0006436,0.0006436
38,228.036,2.01036,1.23499,0.85361,0.67865,0.61607,0.60886,0.28292,1.46279,5.27233,0.6057,0.0006337,0.0006337,0.0006337
