epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3342,2.30689,3.33387,0.922,0.42481,0.54953,0.39109,0.15168,1.62921,11.3749,0.64211,0.0672157,0.000331155,0.000331155
2,19.6911,2.25592,1.55832,0.8794,0.53329,0.5506,0.43891,0.17754,1.63184,10.1548,0.63075,0.0342091,0.00065791,0.00065791
3,28.9399,2.22297,1.59021,0.89409,0.53917,0.4875,0.4622,0.1937,1.64293,2.48892,0.62469,0.00119593,0.000978064,0.000978064
4,38.0579,2.27552,1.48803,0.90263,0.39698,0.46239,0.37349,0.14154,1.68982,3.15791,0.6331,0.0009703,0.0009703,0.0009703
5,47.2681,2.22116,1.51535,0.88409,0.52324,0.50595,0.44322,0.163,1.65389,3.74072,0.63806,0.0009604,0.0009604,0.0009604
6,56.4123,2.2578,1.49101,0.88867,0.49669,0.57143,0.45068,0.19356,1.63224,8.61926,0.63492,0.0009505,0.0009505,0.0009505
7,65.6486,2.19313,1.43304,0.88863,0.48129,0.54167,0.45855,0.20494,1.56351,4.48549,0.6245,0.0009406,0.0009406,0.0009406
8,74.9017,2.08928,1.34727,0.8969,0.54034,0.58929,0.50336,0.22864,1.51859,6.49493,0.61787,0.0009307,0.0009307,0.0009307
9,84.0364,2.12427,1.39262,0.88252,0.52691,0.57738,0.50633,0.21327,1.48709,5.16621,0.61354,0.0009208,0.0009208,0.0009208
10,93.275,2.13134,1.35339,0.88052,0.54384,0.50595,0.44293,0.18096,1.58731,6.64663,0.62332,0.0009109,0.0009109,0.0009109
11,102.494,2.14956,1.35864,0.87994,0.51796,0.54464,0.46572,0.19749,1.6088,4.86373,0.62436,0.000901,0.000901,0.000901
12,111.657,2.12638,1.41886,0.88195,0.50434,0.57738,0.49413,0.23288,1.47724,4.89843,0.60841,0.0008911,0.0008911,0.0008911
13,120.834,1.93484,1.26094,0.86105,0.5637,0.50595,0.5018,0.2505,1.45628,3.58543,0.61581,0.0008812,0.0008812,0.0008812
14,129.96,2.06004,1.28146,0.87273,0.56563,0.57143,0.51806,0.23379,1.50986,6.42462,0.61563,0.0008713,0.0008713,0.0008713
15,139.009,2.03215,1.28511,0.87,0.55129,0.58631,0.52146,0.23837,1.44675,4.70779,0.61161,0.0008614,0.0008614,0.0008614
16,148.086,2.05118,1.29521,0.8672,0.55589,0.58036,0.51119,0.23535,1.44266,6.14974,0.60928,0.0008515,0.0008515,0.0008515
17,157.197,1.98042,1.33281,0.8631,0.57793,0.58929,0.558,0.27923,1.41628,5.03068,0.60775,0.0008416,0.0008416,0.0008416
18,166.39,2.02477,1.36786,0.86656,0.56439,0.59226,0.5683,0.26772,1.47471,3.90452,0.6108,0.0008317,0.0008317,0.0008317
