epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0018,2.42402,2.54914,0.9267,0.37921,0.52722,0.34054,0.11569,1.71868,6.43973,0.64249,0.0672157,0.000331155,0.000331155
2,35.1256,2.30236,1.64601,0.88913,0.40911,0.52751,0.3582,0.14693,1.54311,17.7514,0.63287,0.0342091,0.00065791,0.00065791
3,52.1088,2.32105,1.73391,0.90628,0.49545,0.57738,0.43946,0.17457,1.70931,12.3908,0.65915,0.00119593,0.000978064,0.000978064
4,69.0803,2.33757,1.63982,0.91194,0.40169,0.52976,0.35282,0.12364,1.60295,14.6012,0.63267,0.0009703,0.0009703,0.0009703
5,85.9716,2.25003,1.60766,0.89874,0.52347,0.50675,0.46818,0.19961,1.6054,3.11018,0.63745,0.0009604,0.0009604,0.0009604
6,102.878,2.30923,1.54693,0.89953,0.45625,0.5119,0.38368,0.16854,1.59638,10.6625,0.62936,0.0009505,0.0009505,0.0009505
7,119.757,2.28314,1.61189,0.89833,0.53441,0.53974,0.46894,0.19966,1.6102,5.10621,0.63628,0.0009406,0.0009406,0.0009406
8,136.719,2.16436,1.45814,0.90418,0.52816,0.58631,0.46602,0.19689,1.52561,7.93014,0.62349,0.0009307,0.0009307,0.0009307
9,153.641,2.17051,1.48618,0.88746,0.50796,0.61607,0.49699,0.21214,1.61876,6.16614,0.63562,0.0009208,0.0009208,0.0009208
10,170.587,2.16025,1.40453,0.89153,0.47381,0.53571,0.46881,0.20839,1.55259,5.46645,0.61863,0.0009109,0.0009109,0.0009109
11,187.499,2.10969,1.42541,0.87808,0.46272,0.5625,0.44966,0.19941,1.54323,26.1815,0.61915,0.000901,0.000901,0.000901
12,204.494,2.18312,1.47331,0.88934,0.46898,0.52381,0.4136,0.16437,1.56333,7.94469,0.6246,0.0008911,0.0008911,0.0008911
13,221.339,2.03361,1.35155,0.87297,0.54445,0.51488,0.47087,0.21372,1.51179,4.56445,0.62148,0.0008812,0.0008812,0.0008812
14,238.193,2.04211,1.30672,0.87371,0.60393,0.58929,0.54133,0.24122,1.53167,4.98284,0.61445,0.0008713,0.0008713,0.0008713
15,255.094,2.03811,1.33018,0.87571,0.56432,0.56845,0.54054,0.23498,1.48825,5.31085,0.62133,0.0008614,0.0008614,0.0008614
16,272.027,2.05442,1.32881,0.87284,0.59642,0.5744,0.55784,0.25059,1.49832,4.55767,0.61795,0.0008515,0.0008515,0.0008515
17,288.969,2.03348,1.38336,0.87033,0.56477,0.625,0.5574,0.26785,1.4076,5.27917,0.61432,0.0008416,0.0008416,0.0008416
18,305.897,2.05328,1.38668,0.87408,0.53965,0.5966,0.55185,0.25755,1.44158,4.90836,0.61417,0.0008317,0.0008317,0.0008317
19,322.834,1.96478,1.35105,0.87049,0.50893,0.57738,0.53113,0.25591,1.51799,2.96894,0.61304,0.0008218,0.0008218,0.0008218
20,339.696,1.96962,1.35011,0.86901,0.59455,0.61974,0.60131,0.28964,1.39045,4.39565,0.61131,0.0008119,0.0008119,0.0008119
21,356.624,1.93438,1.25985,0.8665,0.65712,0.57143,0.59284,0.28109,1.43209,4.71155,0.6141,0.000802,0.000802,0.000802
22,373.556,1.92677,1.21991,0.86245,0.60224,0.58036,0.56095,0.25305,1.4745,5.01258,0.61025,0.0007921,0.0007921,0.0007921
23,390.497,1.92751,1.25354,0.86494,0.57952,0.58333,0.56445,0.27329,1.44532,2.71411,0.61352,0.0007822,0.0007822,0.0007822
24,407.415,1.94888,1.31319,0.87322,0.58474,0.59821,0.56084,0.27678,1.3675,3.44704,0.59926,0.0007723,0.0007723,0.0007723
25,424.309,1.95409,1.2391,0.86379,0.57274,0.60119,0.55702,0.26258,1.39445,5.64847,0.60241,0.0007624,0.0007624,0.0007624
26,441.179,1.92425,1.21069,0.85983,0.59854,0.60714,0.56643,0.2787,1.37314,4.85795,0.60306,0.0007525,0.0007525,0.0007525
